Street name,nearest metro station distance(in km),type of road,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district,safety
mehrauli  gurgaon road,3.2,major district road,2005,6.5,2292958,234,719,494,86,57,99,248,68,south west,2
ho chi minh marg,0.152,major district road,2762,0.45,2731929,280,627,595,150,39,0,406,665,south,0
lala lajpat rai marg,0.75,major district road,2762,1.8,2731929,280,627,595,150,39,0,406,665,south,0
lal bahadur shastri marg,0.16,major district road,2762,6.7,2731929,280,627,595,150,39,0,406,665,south,0
shanti path,0.455,major district road,2005,0.8,2292958,234,719,494,86,57,99,248,68,south west,1
pusa road,0.8,major district road,857,1.1,582320,91,305,212,54,9,26,123,37,central,3
cariappa marg,1,major district road,0,2.7,116000,0,0,0,0,0,0,0,0,Delhi Cantt,1
simon bolivar marg,0.935,major district road,2005,1.7,2292958,234,719,494,86,57,99,248,68,south west,1
raisina road,1,major district road,857,0.6,582320,91,305,212,54,9,26,123,37,central,3
siri fort marg,1,major district road,2762,1.3,2731929,280,627,595,150,39,0,406,665,south,0
vandematram marg,2,major district road,857,0.5,582320,91,305,212,54,9,26,123,37,central,3
shankar road,0.28,major district road,857,0.4,582320,91,305,212,54,9,26,123,37,central,3
k b hedgewar marg,1,major district road,2122,0.2,2543243,251,848,484,137,64,52,223,63,west,1
anuvpat marg,1,major district road,2005,1.2,2292958,234,719,494,86,57,99,248,68,south west,1
najafgarh road,8.1,major district road,2005,10.5,2292958,234,719,494,86,57,99,248,68,south west,2
swarna jayanti marg,0.278,major district road,857,0.8,582320,91,305,212,54,9,26,123,37,central,3
zorawar singh marg,1.2,major district road,857,5.5,582320,91,305,212,54,9,26,123,37,central,3
vinay marg,2,major district road,2005,0.9,2292958,234,719,494,86,57,99,248,68,south west,1
race course road,0.044,major district road,857,0.3,582320,91,305,212,54,9,26,123,37,central,3
ashoka road,3.2,major district road,857,0.1,582320,91,305,212,54,9,26,123,37,central,3
sree vinayaka mandir marg,0.6,major district road,2005,0.7,2292958,234,719,494,86,57,99,248,68,south west,1
kautilya marg,2.8,major district road,2005,1.1,2292958,234,719,494,86,57,99,248,68,south west,1
